GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
17037000900,4960,1497.236616,809.5730566,3302,341,761
17037001002,5860,1000.549949,198.9858208,2508,1796,698
17037001003,4134,553.8935336,65.61904768,853,2511,488
17037001004,2374,554.9970635,330.5734828,1341,545,283
17037001300,5267,1310.936324,551.4553808,3303,397,1201
17037001400,6371,1662.91098,1090.990069,4473,607,837
17037001500,3831,782.4763772,577.6583671,2312,165,1174
17037001600,4383,822.5567077,906.6279474,3280,127,742
17037001700,3388,589.3066136,1004.421233,3002,22,222
17037001800,3764,547.1238511,1134.978739,3380,26,214
17037001900,2363,367.0844901,718.7712995,2115,6,145
17037002000,4732,807.7806728,1194.210027,3943,34,552
17037002100,2461,368.6306921,479.8508601,1830,43,512
17037002200,3285,503.3617326,97.96255317,1320,1003,606
17039971400,2493,325.7407231,817.0219902,2331,19,47
17039971500,2601,317.2205524,991.3422183,2511,2,28
17039971600,3589,434.1444293,1308.923153,3389,14,80
17039971700,3271,468.25186,940.9856435,2967,23,160
17039971800,3562,383.4757696,745.0603288,3172,52,195
17041952000,2181,253.5481827,811.5513248,2027,10,80
17041952100,4025,452.6108565,1292.700288,3724,16,95
17041952200,4668,577.2777864,1404.979006,4251,26,158
17041952300,5395,286.5053559,1095.829392,5140,6,145
17041952400,3471,360.3911533,700.6066564,2278,9,1087
17043840000,2835,428.9414853,199.7340965,839,49,1795
17043840101,5680,1010.184558,763.2855957,2758,78,2416
17043840102,4734,800.2594309,752.5439875,3100,118,1213
17043840103,6440,1272.503702,1476.260542,4468,102,1131
17043840104,6031,783.4140775,556.6773108,1815,152,3744
17043840201,6348,1339.178951,1373.641766,4642,84,677
17043840202,5065,1057.226493,1254.857006,3670,36,813
17043840303,3597,547.0825642,473.7198964,1549,193,1604
17043840304,3627,650.2696143,899.3936215,2712,44,567
17043840600,5068,1396.469517,1086.006209,4000,81,545
17043840703,4295,759.4407843,428.0095864,1798,405,1688
17043840704,3217,442.1139621,401.3821544,1343,77,1641
17043840705,3759,854.59649,671.1281821,2210,156,736
17043840706,3370,859.9339929,641.5322753,2021,79,590
17043840801,2621,425.5814178,226.4476714,1138,94,1293
17043840802,5866,1022.165853,661.890644,2357,148,2895
17043840901,3833,677.7186,812.5604977,2576,132,719
17043840904,3610,651.977912,284.1767069,1081,553,1060
17043840906,2970,462.3333328,307.1666663,1238,349,957
17043840907,4658,879.5229341,659.3721332,1860,259,1267
17043840908,4420,890.0220896,462.6566268,1682,299,1545
17043840910,4918,929.4829933,620.3341839,2050,310,1892
