Unit 1,Unit 2,Shared perim (meters)
17031330102,17031839000,0
17031330102,17031320600,387.5016429
17031806005,17031805902,631.3577724
17031806005,17031806002,809.8056494
17031806005,17031806004,963.8270638
17031460800,17031480500,635.9551191
17031460800,17031833900,1449.955477
17031460800,17031460301,808.6829177
17031460800,17031460200,509.0611414
17031460800,17031450300,0
17031460800,17031460400,378.1899536
17031460800,17031460100,591.3920612
17187870500,17187870400,5879.70611
17187870500,17187870300,6387.56189
17187870500,17187870100,4685.748034
17031824508,17031824123,0
17031824508,17031824507,739.5173016
17031824508,17031824107,2576.378659
17031824508,17031824505,1222.134483
17031824508,17031824106,2612.490008
17031824508,17031824509,2350.765837
17031824508,17031824503,1658.905025
17129010100,17167003601,1030.935063
17129010100,17167003702,22186.05633
17129010100,17107953500,18191.48065
17129010100,17129010300,21951.56744
17129010100,17129010200,20384.5133
17129010100,17125956700,34430.01371
17129010200,17129010300,24143.36791
17031828508,17031828503,3996.848268
17031828508,17031828507,7103.844999
17031828508,17031828505,2994.624457
17031809402,17031809401,913.5492287
17031809402,17031809500,659.3202341
17031809402,17031808702,731.3397652
17031809402,17031809300,343.3461825
17031824126,17197883514,1366.99878
17031824126,17031824127,3256.082775
17031824126,17031824122,2585.803879
17031824126,17031824125,271.0846777
17031824126,17031824121,541.6621254
17031828507,17031828503,912.1155475
17031828507,17031828505,2735.919293
17183000500,17183000100,0
17183000500,17183000200,1329.025968
17183000500,17183000300,132.8408068
17183000500,17183000600,2200.788455
17183000500,17183000400,4182.992512
17183000500,17183000700,1246.570686
17183000500,17183001200,5851.852147
17183000500,17183010400,1655.862236
17183010300,17183010702,1808.331716
17183010300,17183000900,1386.260229
17183010300,17183010800,26260.43266
17183010300,17183000800,1805.954828
17183010300,17019010702,6058.656986
17183010300,17183000700,1631.364655
17183010300,17183001300,10279.79572
17183010300,17183010400,19480.73601
17183010300,17183010100,63294.24351
17183000100,17183010500,259.1387487
17183000100,17183000900,3839.753693
17183000100,17183000200,3438.971878
17183000100,17183000600,742.8997196
17183001300,17183000700,7796.766403
17183001300,17183001200,4944.353446
17183001300,17183010400,1521.262256
17183010800,17183010900,11414.29736
17183010800,17183010702,12043.19095
17183010800,17019010702,9734.4652
17117956500,17117956700,5674.739916
17117956500,17117956800,5494.805261
17117956500,17117956600,16039.23643
17117956500,17117956400,8102.231959
17117956500,17117956300,15614.16292
17117956500,17117956200,20152.82721
17183000700,17183000800,4781.249686
17183000700,17183000600,915.2064942
17183000700,17183001200,324.2611146
17183010701,17183010900,3659.936093
17183010701,17183010600,1789.75174
17183010701,17183010500,4454.720652
17183010701,17183010702,5921.83153
17183010701,17183000900,1901.353473
17183010500,17183011100,5884.648754
17183010500,17183010600,4028.797743
17183010500,17183000900,1930.45343
17183010500,17183000200,298.3277732
17183010500,17183000300,715.8682472
17183010500,17183011200,6019.906158
17183010400,17183000400,5294.760801
17183010400,17183001200,7425.042353
17183010100,17053961700,9667.808292
17183010100,17075950900,15357.18244
17183010100,17075950800,14562.8087
17183010600,17183011100,3356.617891
17183010600,17183010900,4919.763792
17183010600,17183011000,5654.077243
17197880416,17197883209,0
17197880416,17197883217,805.4784288
17197880416,17197880418,1616.122263
17197880416,17197880414,1612.238436
17197880416,17197880429,0
17197880416,17197880417,1608.837783
17183000900,17183010702,3797.497003
17183000900,17183000800,4915.802588
17183000900,17183000600,545.5472189
17183011100,17045070100,19880.16233
17183011100,17183010900,8170.757704
17183011100,17183011000,16157.14384
17183000800,17183000600,1628.391372
17015960100,17015960500,14187.74022
17015960100,17015960400,4809.141884
17015960100,17141960800,12090.39793
17015960100,17015960200,11951.54505
17015960100,17177000500,4813.967309
17015960100,17177000400,13289.41922
17015960300,17015960200,31905.21228
17015960300,17085020402,7947.980874
17015960600,17195000100,0
17015960600,17195000400,9638.518716
17015960600,17195000200,16142.70324
17015960600,17015960500,13689.11143
17015960600,17015960400,9349.415784
17015960600,17015960200,14010.05038
17015960500,17195000100,12950.07887
17015960500,17195000200,0
17015960500,17141961500,10522.48401
17015960500,17015960400,13524.61665
17015960500,17141960800,7267.467411
17183010900,17045070200,17466.00897
17183010900,17045070100,3521.166927
17183010900,17019010800,21831.21
17183010900,17183011000,10527.35249
17183010900,17183010702,13680.20388
17183010900,17019010702,805.4202857
17015960400,17015960200,30662.77779
17015960200,17177000400,1157.930095
17015960200,17085020500,15532.37256
17015960200,17085020402,9381.508486
17031824128,17197883522,1403.850642
17031824128,17197883519,1619.927257
17031824128,17031824127,3296.167509
17031824128,17031824119,795.4659256
17031824128,17031824129,5662.446558
17031824128,17031824124,0
17031824129,17031824127,0
17031824129,17031824119,4040.989713
17031824129,17031824124,1624.217116
17031824129,17031824114,1245.868886
17031824129,17031824106,0
17031824129,17031824113,0
17031824129,17031824116,1963.848926
17031804313,17031804403,3463.654504
17031804313,17089850800,912.7600595
17031804313,17031804312,1801.770244
17031804313,17089850500,2107.12883
17031804313,17031804204,2031.513629
17031829903,17031829902,3081.847776
17031829903,17031829904,1846.348479
17031829903,17031825504,0
17031829903,17031825505,1627.268736
17031824127,17197883522,38.87453449
17031824127,17197883514,962.658638
17031824127,17031824125,2027.260948
17031824127,17031824124,417.2174895
17031824509,17031824505,2964.829811
17031824509,17031824602,0
17031824509,17031824601,813.5128405
17031824509,17031824503,2342.438935
17031824124,17031824125,1936.011856
17031824124,17031824121,814.0538891
17031824124,17031824106,1642.278154
17031824124,17031824116,0
17031824125,17031824121,1858.340464
17031612200,17031611900,403.7499232
17031612200,17031612000,403.4096125
17031612200,17031612100,403.7418689
17031612200,17031843800,808.461834
17031612200,17031611200,809.2244879
17031612200,17031842600,1616.160505
17031490200,17031490500,1601.539396
17031490200,17031490600,0
17031490200,17031440900,1090.817505
17031490200,17031834000,815.0538608
17031490200,17031470100,55.96768994
17031490200,17031440600,889.8659337
17031490200,17031842400,0
17031844600,17031381700,235.2355011
17031844600,17031381400,0
17031844600,17031381500,606.4918671
17031844600,17031835800,604.0103653
17031844600,17031835500,806.9370079
17031844600,17031380600,641.2535362
17031844700,17031300500,0
17031844700,17031300600,404.5762719
17031844700,17031300700,324.8620742
17031844700,17031841700,662.8344266
17031844700,17031292400,140.6937524
17031844700,17031292200,884.1749152
17031844700,17031843100,487.6453151
17031844700,17031841500,443.1789136
17031820203,17031823801,3096.468014
17031820203,17031824004,0
17031820203,17043845901,2426.819952
17031820203,17031820606,442.2205842
17031820203,17043845902,807.8806577
17031820203,17031820204,2420.51339
17031820203,17031820202,1524.896872
17031804312,17031804314,3535.632213
17031804312,17031804404,0
17031804312,17031804403,1650.190552
17031804312,17031804701,2336.920689
17031804312,17031804204,2808.002452
17031630600,17031670500,0
17031630600,17031835100,434.8392857
17031630600,17031630400,811.5648141
17031630600,17031630500,1619.611897
17031630600,17031611600,815.8580513
17031630600,17031630300,387.3602197
17031630600,17031611500,770.6402311
17031630600,17031842800,1620.033552
17031820204,17043845902,1235.212327
17031820204,17031820202,5083.905624
17031820204,17031820101,2791.33677
17031820204,17031820104,1853.411204
